"","Isolate","Meropenem","BioSample","Assembly"
"206","P0273","Resistant","SAMN50725761","GCA_052316715.1"
"207","P0275","I","SAMN50725762","GCA_052316735.1"
"208","P0276","Resistant","SAMN50725763","GCA_052316695.1"
"209","P0281","Resistant","SAMN50725764","GCA_052316675.1"
"210","P0282","Resistant","SAMN50725765","GCA_052316655.1"
"211","P0285","Resistant","SAMN50725766","GCA_052316635.1"
"212","P0286","Resistant","SAMN50725767","GCA_052316615.1"
"213","P0287","Resistant","SAMN50725768","GCA_052316595.1"
"214","P0288","Resistant","SAMN50725769","GCA_052316575.1"
"215","P0290","Resistant","SAMN50725770","GCA_052316535.1"
"216","P0291","Resistant","SAMN50725771","GCA_052316555.1"
"217","P0292","Resistant","SAMN50725772","GCA_052316515.1"
"218","P0293","Resistant","SAMN50725773","GCA_052316495.1"
"219","P0294","Resistant","SAMN50725774","GCA_052316475.1"
"220","P0295","Susceptible","SAMN50725775","GCA_052316455.1"
"221","P0298","Resistant","SAMN50725776","GCA_052316435.1"
"222","P0299","Resistant","SAMN50725777","GCA_052316415.1"
"223","P0300","Resistant","SAMN50725778","GCA_052316395.1"
"224","P0301","Resistant","SAMN50725779","GCA_052316355.1"
"225","P0302","Resistant","SAMN50725780","GCA_052316365.1"
"226","P0326","Susceptible","SAMN50725781","GCA_052316335.1"
"227","P0338","Susceptible","SAMN50725782","GCA_052316315.1"
